term,jsd,count_early,count_modern,neighbours,scaled_jsd
1986,0.9380521546868836,4,3996,2561,0.9703240921515033
parked,0.9450727562164408,4,3996,3816,0.9698637316561844
clips,0.9578043695900734,18,2928,3068,0.9696870925684485
shorts,0.9432150080245248,67,3933,3825,0.9696732026143791
contexts,0.9416036601110247,3,3997,3823,0.969657337169762
pairings,0.9776417281974075,3,567,725,0.9696551724137931
typed,0.959269006201689,3,2170,2503,0.9696364362764682
mitch,0.9550273770068768,17,3658,3412,0.9695193434935522
significant,0.8751292134289739,15,3985,1115,0.9695067264573991
institute,0.9226642074119799,74,3926,1967,0.9694966954753431
marketing,0.9397733825077025,9,3991,2909,0.9694052939154348
fake,0.9393316757122463,103,3897,3856,0.9693983402489627
cop,0.9413242068376393,67,3933,3642,0.9692476661175179
deli,0.9653896479559133,165,1737,2263,0.9690676093680954
n35,0.9703814266587494,3,974,1227,0.9690301548492257
camera,0.9341353935775437,3,3997,2194,0.9690063810391978
unsettling,0.9609259164642533,18,1958,2344,0.9688566552901023
trump,0.9373096435078376,51,3949,2408,0.9688538205980066
enrichment,0.9575871664559839,6,2201,2536,0.9688485804416404
testing,0.9377821370427942,3,3997,2438,0.9688269073010665
people,0.6903208133903941,830,3170,96,0.96875
hex,0.9767761208624789,7,473,605,0.968595041322314
1997,0.9220205699032876,2,3998,1992,0.9683734939759037
academic,0.9214175656611744,7,3993,1797,0.9682804674457429
findings,0.932213989207325,1,3999,2203,0.9682251475261008
ltd,0.9562250690591028,19,2549,2829,0.968186638388123
stance,0.9361001787359858,36,3964,3827,0.9681212437940946
sequence,0.9401501872373008,16,3984,3605,0.9680998613037448
international,0.866633754254855,2,3998,908,0.9680616740088106
cooperative,0.9367262347328688,8,3992,3839,0.9679604063558218
pucci,0.9828859466100988,3,195,249,0.9678714859437751
ivf,0.9730002033237624,5,465,591,0.9678510998307953
potential,0.9084562957874376,5,3995,1332,0.9677177177177178
afghan,0.9450831669337929,3,3997,3748,0.9677161152614728
major,0.859411760096325,838,3162,616,0.9675324675324676
uk,0.9422406266484596,34,3966,3804,0.9674027339642481
campus,0.9373840132931494,8,3992,2843,0.9672880759760816
guys,0.9185852709013427,3,3997,1859,0.9671866594943518
investment,0.9277712444583005,13,3987,2100,0.9671428571428572
consensus,0.9384800774784875,13,3987,3618,0.9671088999447208
experts,0.9320022938860085,3,3997,2300,0.9669565217391304
him,0.7105669518181598,1376,2624,60,0.9666666666666667
redhead,0.9713561614057794,6,876,1104,0.9664855072463768
fantasy,0.9399410799145503,5,3995,3743,0.9663371627037136
2009,0.9181533980555174,1,3999,2016,0.9662698412698413
identifying,0.937494764108035,6,3994,3713,0.9657958524104497
mentors,0.9502257176675013,11,3228,3210,0.9657320872274143
implement,0.9349518829136276,41,3959,3822,0.9654631083202512
identification,0.9352037493807127,3,3997,3415,0.9654465592972181
beneficiaries,0.9531857450344288,3,2576,2835,0.9654320987654321
dex,0.971906045348532,25,612,809,0.965389369592089
gwen,0.9527551026387616,4,2228,2560,0.965234375
targets,0.9359593306563937,11,3989,3613,0.9651259341267645
modeling,0.9335822499458222,11,3989,3839,0.9650950768429278
aba,0.9525739852244591,20,2591,2855,0.9649737302977233
underground,0.9364794957422505,5,3995,3792,0.9649261603375527
mla,0.9804510941662303,8,196,256,0.96484375
skills,0.9071686347271912,2,3998,1450,0.9648275862068966
ditto,0.931822083648494,3857,143,2635,0.9647058823529412
disposable,0.9607884207562876,16,1817,2195,0.9644646924829157
teen,0.9362707320783581,135,3865,3764,0.9643995749202976
rena,0.9722661352804282,15,433,560,0.9642857142857143
tilts,0.9711911930560921,15,828,1063,0.9642521166509878
parcells,0.9677146290971845,101,999,1365,0.9641025641025641
traditional,0.9049120273340251,5,3995,1526,0.9639580602883355
larry,0.9340875448894083,2,3998,3301,0.9639503180854286
genes,0.9340973058340903,3,3997,3575,0.963916083916084
vivo,0.9702404209254138,8,877,1108,0.9638989169675091
gene,0.93401675204489,119,3881,3293,0.9638627391436381
mich,0.9447109387320956,68,3932,3622,0.9638321369409166
anc,0.9509846684568545,169,2265,2725,0.9636697247706422
stalled,0.9505032659058898,22,2327,2664,0.9632132132132132
switch,0.932931933156837,191,3809,3362,0.962819750148721
heidegger,0.9656812071700632,12,1196,1506,0.9628154050464808
greed,0.9479857886890466,52,2718,2958,0.9628127112914131
arkansas,0.9323430510338373,5,3995,3831,0.9626729313495171
coastal,0.9336202818513103,2,3998,3795,0.9625823451910408
terminal,0.9346330125655443,10,3990,3807,0.9624376149198844
pc,0.9316386899594636,136,3864,3538,0.962408140192199
uplifting,0.9682850181132989,11,809,1034,0.9622823984526112
school,0.7335926320522923,93,3907,212,0.9622641509433962
monitor,0.92997796883987,51,3949,2940,0.9622448979591837
ethnic,0.9217391381772692,2,3998,2546,0.9619010212097407
mae,0.9449062327223469,99,3739,3461,0.9618607338919387
directive,0.9591986344287371,11,1855,2224,0.9617805755395683
spokesman,0.9306759301622478,3,3997,3411,0.9615948402228086
houston,0.9057115855957766,80,3920,2026,0.9615004935834156
implementing,0.9323531453367766,1,3999,3806,0.9613767735155019
booming,0.9456003544342699,5,3164,3174,0.9612476370510397
financing,0.9296492572050455,4,3996,3819,0.9612463995810422
stimulation,0.9458906676214165,10,3137,3164,0.9611251580278128
raid,0.9330621654497017,1623,2377,3807,0.961124244812188
isd,0.9660238995155213,25,940,1208,0.9610927152317881
uc,0.9470640246559701,221,2777,3091,0.9608540925266904
overnight,0.9313526856140405,3,3997,3806,0.9608512874408828
rick,0.9312958765616905,25,3975,3611,0.9606757130988646
lot,0.8303812044719577,338,3662,506,0.9604743083003953
tires,0.9288868884700701,49,3951,3819,0.9604608536266038
hub,0.9440141281373013,80,3593,3412,0.9604337631887456
probes,0.9475974135833279,18,2624,2879,0.96040291767975
factor,0.9073384840813425,55,3945,2164,0.9602587800369686
symbolic,0.9261483854610728,3,3997,3864,0.9601449275362319
police,0.8548520250403547,50,3950,925,0.96
dominated,0.9303585185120677,2,3998,3599,0.9599888858016116
wo,0.8811907233072185,84,3916,1199,0.9599666388657214
com,0.8596766739567424,142,3858,799,0.9599499374217773
ronald,0.927497469852967,35,3965,3860,0.9598445595854922
graph,0.9287109814751505,11,3989,3825,0.9597385620915033
killings,0.9451574650185615,25,2781,2977,0.9596909640577763
angeles,0.9130431821187145,1,3999,2251,0.9595735228787206
chili,0.9344609103565444,117,3883,3676,0.9591947769314473
rental,0.9309557249791423,23,3977,3798,0.959189046866772
gwinnett,0.9347489166643688,28,3972,3711,0.9590406898410132
chol,0.9434277450903659,14,3316,3266,0.9589712186160441
bothered,0.931334207877236,2,3998,3771,0.9588968443383717
dallas,0.9206939261182373,116,3884,3270,0.9587155963302753
supra,0.9252291142371554,30,3970,3371,0.9584692969445269
wu,0.9453223525440807,67,2560,2865,0.9584642233856894
mccain,0.9315882614585331,5,3995,3730,0.9584450402144772
classified,0.9234318172020516,3,3997,3864,0.9580745341614907
rating,0.9219581964801146,59,3941,3356,0.9579856972586412
pcr,0.9486919653458257,136,1924,2427,0.957972805933251
colo,0.9181892667131949,3319,681,3039,0.9578808818690359
implications,0.9191009804984775,12,3988,3156,0.9578580481622306
patterned,0.9552996509139637,4,1811,2182,0.9578368469294225
asian,0.9197151114923012,8,3992,2914,0.9577899794097461
minn,0.9450814571250123,11,2445,2748,0.9577874818049491
group,0.8191954845005747,9,3991,402,0.9577114427860697
web,0.8980011844363106,30,3970,1956,0.9575664621676891
data,0.8419172634144209,15,3985,658,0.9574468085106383
predictive,0.9447778295075391,15,2851,3027,0.9573835480673935
uh,0.928287138173819,62,3938,3799,0.9573571992629639
nuance,0.9636398400189532,25,873,1125,0.9573333333333334
org,0.9127590283573146,8,3992,2636,0.9571320182094082
forties,0.9554145120566983,6,1725,2116,0.9569943289224953
screen,0.894736369371617,62,3938,1974,0.9569402228976697
ava,0.9566334752615033,66,1316,1714,0.9568261376896149
reno,0.9444461197542612,13,2637,2884,0.9566574202496533
diabetes,0.9230076658820833,13,3987,3595,0.956606397774687
tablespoons,0.9203207216065481,1,3999,3514,0.956459874786568
addiction,0.9295374886477414,4,3996,3763,0.9564177517937815
attitudes,0.9175757260979319,37,3963,2907,0.956312349501204
click,0.9219605527896391,6,3994,3591,0.9562795878585352
cpi,0.9673385032424824,12,614,796,0.9560301507537688
producers,0.9260515316157373,4,3996,3723,0.9559495030889068
kid,0.9006251923730787,41,3959,2083,0.9558329332693231
cycle,0.9147860474375475,4,3996,3188,0.955771643663739
jobs,0.8831152350236471,9,3991,1762,0.9557321225879682
implemented,0.9247582860426581,2,3998,3794,0.955719557195572
tag,0.9193560543291981,16,3984,3827,0.9555787823360334
staid,0.947955971791131,1560,472,2401,0.9554352353186173
designers,0.9190514188635496,4,3996,3830,0.9553524804177546
clacks,0.984727331471449,6,59,67,0.9552238805970149
emile,0.96061417913292,6,1087,1356,0.9550147492625368
spraying,0.954858220073185,3,1666,2045,0.9550122249388753
mini,0.9190504509109058,51,3949,3865,0.954980595084088
facilities,0.9127208876617858,55,3945,2976,0.9549731182795699
lcd,0.9552293388423642,81,1498,1947,0.9548022598870056
saver,0.9660910382208262,14,693,902,0.9545454545454546
server,0.9402329684771825,28,3201,3203,0.9544177333749609
diy,0.95976630868804,70,927,1249,0.9543634907926342
criteria,0.9119103147424662,4,3996,3215,0.9542768273716952
sharon,0.9182672319136757,114,3886,3848,0.9542619542619543
barb,0.9529324175087941,176,1337,1879,0.954230973922299
exploration,0.9197373601227841,5,3995,3819,0.9541764859910972
hussein,0.9168650841553134,3,3997,3837,0.9541308313786813
trail,0.9070581927605069,32,3968,2593,0.9541072117238719
landmark,0.9307675434947862,14,3986,3681,0.9540885628905189
dui,0.9664176415727654,36,632,846,0.9539007092198581
relationships,0.9023629962040023,4,3996,2204,0.9537205081669692
inc,0.9034193243369055,29,3971,2396,0.9536727879799666
hubble,0.9380053848283276,13,3106,3148,0.9536213468869124
casino,0.9253059557457913,10,3990,3771,0.9535932113497746
trucks,0.9210111465412743,7,3993,3717,0.9534570890503093
reproductive,0.9260859925992596,5,3995,3730,0.9533512064343164
sorel,0.978706808701681,90,82,212,0.9528301886792453
cafe,0.9155309029677052,118,3882,3836,0.9528154327424401
locomotive,0.9595813590771688,22,958,1229,0.9528071602929211
ken,0.9205567370057269,149,3851,3729,0.9528023598820059
housing,0.9055238127695708,16,3984,2518,0.9527402700555997
clutch,0.9402094130704876,7,2721,2935,0.9526405451448041
analysis,0.8686167216971572,12,3988,1243,0.9525341914722446
sprays,0.9589780691653393,7,1238,1559,0.9525336754329699
player,0.8789825956577174,19,3981,1832,0.9525109170305677
marin,0.940620070338418,31,2412,2737,0.9525027402265254
