term,jsd,count_legal,count_popular,neighbours,scaled_jsd
subjects,0.4135391480848517,624,3376,864,0.3541666666666667
be,0.5006777367100457,1555,2445,17,0.35294117647058826
removal,0.43439515533346457,1947,2053,2954,0.3527420446851727
resident,0.47299295233505123,1145,804,4085,0.35177478580171356
concerned,0.42391119104585895,981,3019,1990,0.349748743718593
enumeration,0.5006814657008855,747,497,4163,0.3497477780446793
overt,0.5934929723629554,147,210,1872,0.34935897435897434
alliance,0.4401608606125006,863,2728,3227,0.3492407809110629
other,0.43664050767902385,1312,2688,69,0.34782608695652173
coin,0.46513340091329514,1420,774,3974,0.3475088072471062
forfeiture,0.46157768415034933,1764,589,3888,0.3469650205761317
compensation,0.425167465622234,2601,1399,2395,0.3465553235908142
choosing,0.4688633966006354,522,1507,4046,0.3462679189322788
inhabitant,0.44982060140292096,1689,1182,3579,0.3461860854987427
valid,0.46146501415900965,1654,658,3915,0.34533844189016605
which,0.48261919203888837,839,3161,29,0.3448275862068966
foregoing,0.42824682605758874,1512,2488,2865,0.343804537521815
from,0.4830510821211872,947,3053,32,0.34375
employed,0.4093077707645398,1293,2707,1040,0.3403846153846154
execute,0.4229826777970867,2321,1679,2133,0.340365682137834
grand jury,0.5022408030397271,553,615,4084,0.3396180215475024
citizen,0.4202741175616298,1466,2534,1914,0.3375130616509927
under,0.4178361109261547,1190,2810,120,0.3333333333333333
of,0.49141561318852384,1197,2803,3,0.3333333333333333
that,0.5063437907078256,1071,2929,12,0.3333333333333333
speedy,0.43792757615189565,802,2607,3304,0.33171912832929784
searched,0.529214949430838,100,611,3309,0.33091568449682685
following,0.4059554325865187,1369,2631,415,0.3301204819277108
effect,0.40242716787809085,940,3060,747,0.3293172690763052
granted,0.4045720947326754,2298,1702,867,0.328719723183391
exceptions,0.4775711085565632,707,905,4187,0.32744208263673275
smaller,0.4501974436157128,608,1886,3775,0.32741721854304634
sole,0.42546083263121454,1294,2706,2942,0.32732834806254246
number,0.4073450354618212,1139,2861,358,0.3268156424581006
called,0.40830174763466653,852,3148,334,0.3263473053892216
delay,0.4189567392674016,1514,2486,2241,0.32262382864792505
